lon,lat,value
309.5,-73.25,-0.5136847
310.5,-73.25,-0.43139493
311.5,-73.25,-0.34622708
312.5,-73.25,-0.26523975
313.5,-73.25,-0.18657583
314.5,-73.25,-0.10712323
315.5,-73.25,-0.027193174
316.5,-73.25,0.053847983
317.5,-73.25,0.12020577
318.5,-73.25,0.17729735
319.5,-73.25,0.23050565
320.5,-73.25,0.27750474
321.5,-73.25,0.32255724
322.5,-73.25,0.3663597
323.5,-73.25,0.4062695
324.5,-73.25,0.44291475
325.5,-73.25,0.474353
326.5,-73.25,0.49869248
327.5,-73.25,0.5158388
328.5,-73.25,0.5274887
329.5,-73.25,0.53592503
330.5,-73.25,0.5409715
331.5,-73.25,0.5431582
332.5,-73.25,0.5419411
333.5,-73.25,0.53759515
334.5,-73.25,0.5385248
335.5,-73.25,0.5422013
336.5,-73.25,0.54417217
337.5,-73.25,0.54496616
338.5,-73.25,0.5367273
